SA2_CODE16,avg_income,Median_tot_fam_inc_weekly,Tot_P_P,Median_age_persons,Median_rent_weekly
210051441,1605.167629,1419,8390,33,320
210051442,1900.366631,1686,11524,29,340
210051443,1739.867685,1508,16288,31,330
210051444,1720.559219,1502,14152,29,345
210051445,2061.154723,1856,3385,31,350
211011251,1588.879593,1574,12078,38,331
211011254,1883.560814,1763,15088,38,376
211011255,2631.700963,2423,6580,39,386
211011256,2065.621727,1944,15215,38,390
211011257,2187.842744,2055,8005,38,400
211011258,2304.619449,2158,10573,39,425
211011259,1912.198552,1794,13926,42,376
211011260,2007.573189,1854,17805,43,381
211011446,1574.964571,1579,22096,39,335
211011447,1658.245909,1717,13890,40,324
211011448,1841.699713,1794,14621,38,351
211011449,1922.085016,1916,4271,38,325
211021261,2426.701444,2259,15942,43,396
211021262,2724.229055,2541,10049,43,376
211031263,1784.538544,1808,11773,37,311
211031265,2313.266203,2228,17985,39,381
211031266,1686.407448,1727,17149,37,335
211031267,1922.15487,1974,20260,39,344
211031268,2234.885483,2162,9524,41,381
211031450,1591.275069,1668,15182,37,330
211031451,1742.736022,1771,13351,40,347
211031452,1819.881812,1833,4715,37,351
211041269,1768.372991,1695,10626,40,360
211041270,2012.407734,2048,16148,38,363
211041271,1909.939189,1887,11876,38,350
211041272,1979.132331,1951,10442,40,375
211041273,2087.639446,1828,11678,45,441
211051274,2048.845408,1956,10019,39,325
211051275,1969.491703,1924,9872,39,380
211051276,1618.605618,1577,13710,43,300
211051277,1615.01041,1662,9178,40,350
211051278,1751.082723,1758,18721,39,330
211051279,1824.971463,1699,5632,42,320
211051280,1940.771341,1957,6803,41,335
211051281,1862.184943,1791,22056,36,350
211051282,2035.805456,1982,9707,44,340
211051283,1873.608027,1862,9702,37,310
211051284,1976.912122,2038,9610,40,336
211051285,1895.437793,1771,7601,38,320
211051286,1417.147858,1399,16161,42,270
212011287,2106.720403,2018,13022,33,351
212011288,1820.203997,1762,8638,42,253
212011289,1992.816939,1915,18000,40,321
212011290,1616.046415,1545,7481,39,250
212011291,1594.647463,1525,18603,30,315
212011292,1620.537966,1562,28541,32,321
212021293,1940.633919,1911,22894,42,341
212021294,2116.991176,1971,25801,33,380
212021295,1243.756458,1064,11306,34,280
212021297,1545.683596,1358,10761,35,323
212021299,2524.774838,2178,7759,41,354
212021453,1812.695779,1577,11892,37,330
212021454,1763.122565,1551,13357,38,345
212021455,1837.623928,1709,13409,35,340
212021456,1590.776071,1468,13946,34,320
212031300,1483.880149,1391,20094,34,300
212031301,1839.36992,1763,25688,31,380
212031302,1784.118611,1662,20110,31,345
212031303,2119.71361,1990,8819,37,350
212031304,1718.08794,1600,15053,30,336
212031305,1544.870568,1358,25530,33,320
212031306,2121.522093,1894,15224,32,381
212031308,1802.698566,1731,7741,40,300
212031457,2243.988633,1997,13122,34,400
212031458,1877.523516,1652,16783,32,360
212041309,1756.446161,1595,11650,43,351
212041310,1547.043874,1342,12642,33,342
212041311,1302.644585,1112,30671,33,281
212041312,1494.623899,1315,22430,37,300
212041313,1946.618754,1939,10285,43,380
212041314,1879.719726,1618,25980,35,360
212041316,1497.369443,1352,7487,39,321
212041317,1403.144281,1120,21771,34,310
212041318,1504.935395,1208,12649,35,319
212041459,1362.457893,1245,12429,34,299
212041460,1363.390952,1189,18630,35,300
